_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE
89.0010542,0.3757364,316.5758708,47.8514861,189,NGC 7026,4,51,DSS2,NGC 7026,MASH,316.57587,47.85149
89.8387564,-0.639007,318.5317833,47.772825,190,Sh 1-89,50,95,DSS2,Sh 1-89,MASH,318.53178,47.77282
91.6488222,-4.83735,324.7041917,46.007725,191,K 3-84,3,45,CAM98,PN K 3-84,MASH,324.70419,46.00772
91.665352,1.8171941,317.7184375,50.7873417,192,We 1-11,49,95,DSS2,PN We 1-11,MASH,317.71844,50.78734
92.1177392,5.8069933,313.3063958,53.7616,193,K 3-79,132,1,DSS2,PN K 3-79,MASH,313.3064,53.7616
93.3778056,-2.4544578,324.25625,48.9340611,194,M 1-79,88,129,DSS2,PN M 1-79,MASH,324.25625,48.93406
93.412523,5.4937418,315.1354292,54.5433833,195,NGC 7008,38,86,DSS2,NGC 7008,MASH,315.13543,54.54338
94.543167,-0.8513563,323.9328208,50.9047056,196,K 3-83,100,142,CAM98,PN K 3-83,MASH,323.93282,50.90471
95.2569108,7.8019405,314.1126333,57.4341806,197,A 73,38,87,DSS2,PN A66  73,MASH,314.11263,57.43418
96.3166321,2.3469773,322.5029583,54.457625,198,K 3-61,164,27,CAM98,PN K 3-61,MASH,322.50296,54.45762
97.6821667,-2.4517139,329.424225,51.6941694,199,M 2-50,52,90,CAM98,PN M 2-50,MASH,329.42422,51.69417
100.0322159,-8.7620242,337.932025,47.8011,200,Me 2-2,,,HST,PN Me 2-2,MASH,337.93202,47.8011
100.6221641,-5.402274,335.9821875,50.9667861,201,IC 5217,90,122,CAM98,IC 5217,MASH,335.98219,50.96679
101.8557233,8.7498949,321.5980833,62.892175,202,A 75,94,137,DSS2,PN A66  75,MASH,321.59808,62.89217
102.8276664,-5.0190432,338.6899833,52.4350583,203,A 80,19,48,DSS2,PN A66  80,MASH,338.68998,52.43506
102.9816198,-2.3218588,336.5719125,54.8272417,204,A 79,20,51,DSS2,PN A66  79,MASH,336.57191,54.82724
103.2234318,0.6749895,334.0162083,57.4760417,205,M 2-51,151,4,DSS2,PN M 2-51,MASH,334.01621,57.47604
103.7929294,0.4543181,335.1281042,57.6060056,206,M 2-52,116,148,DSS2,PN M 2-52,MASH,335.1281,57.60601
104.1588274,-1.4337935,337.5284,56.1982833,207,KLW 8,40,70,DSS2,KLW 8,MASH,337.5284,56.19828
104.1185131,7.9130125,326.535775,63.7915139,208,NGC 7139,47,86,DSS2,NGC 7139,MASH,326.53577,63.79151
104.4072947,-1.6099533,338.0738333,56.1739222,209,M 2-53,95,124,DSS2,PN M 2-53,MASH,338.07383,56.17392
107.8436591,2.3151734,340.0830833,61.2855833,210,NGC 7354,17,45,DSS2,NGC 7354,MASH,340.08308,61.28558
110.1217264,1.9257668,344.7285708,61.9660472,211,IRAS 22568+6141,121,146,CAM98,IRAS 22568+6141,MASH,344.72857,61.96605
110.6904511,-12.938766,354.795175,48.208075,212,K 1-20,154,169,DSS2,PN K 1-20,MASH,354.79517,48.20807
111.3866105,6.9406087,342.2590625,67.0274694,213,KjPn 6,4,32,CAM98,PN KjPn 6,MASH,342.25906,67.02747
112.538691,-0.14005,351.0436333,60.9585417,214,KjPn 8,72,91,CAM98,PN KjPn 8,MASH,351.04363,60.95854
112.5671032,3.7979217,348.0645583,64.654925,215,k 3-88,45,66,DSS2,PN k 3-88,MASH,348.06456,64.65492
112.9138473,-10.2292317,356.9334167,51.3991389,216,A 84,172,6,DSS2,PN A66  84,MASH,356.93342,51.39914
113.6150709,-6.954064,356.6946208,54.7438028,217,A 83,34,47,DSS2,PN A66  83,MASH,356.69462,54.7438
114.0670441,-4.6712069,356.449225,57.06645,218,A 82,46,59,DSS2,PN A66  82,MASH,356.44922,57.06645
116.1730823,0.443235,358.075,62.5363889,219,We 2-262,172,4,DSS2,PN We 2-262,MASH,358.075,62.53639
116.2951761,8.5297181,352.9696167,70.369475,220,M 2-55,38,55,DSS2,PN M 2-55,MASH,352.96962,70.36947
118.4146199,8.415745,359.1516667,70.8050556,221,M 2-56,87,100,CAM98,PN M 2-56,MASH,359.15167,70.80506
118.7949466,8.2386067,0.3790583,70.7083139,222,A 86,115,125,DSS2,PN A66  86,MASH,0.37906,70.70831
119.3715382,0.3299409,5.001875,62.9842111,223,BV 5-1,53,59,DSS2,PN BV 1,MASH,5.00187,62.98421
119.6699008,-6.7596825,7.0650583,55.9651972,224,Hu 1-1,9,14,CAM98,PN Hu 1-1,MASH,7.06506,55.9652
120.0161915,9.8680785,3.2542289,72.5219681,225,NGC 40,15,24,CAM98,NGC 40,MASH,3.25423,72.52197
151.4016236,0.511287,63.3635625,51.8502556,226,K3-64,120,77,CAM98,PN K3-64,MASH,63.36356,51.85026
159.0604819,-15.1902341,56.8880958,35.0468056,227,IC 351,3,143,CAM98,IC 351,MASH,56.8881,35.04681
166.1563537,10.4755093,89.0996167,46.1048111,228,IC 2149,73,11,DSS2,IC 2149,MASH,89.09962,46.10481
166.4458128,-6.5275141,70.7235,36.1148333,229,CRL 618,99,49,DSS2,CRL 618,MASH,70.7235,36.11483
173.5109842,3.2277856,85.6435542,36.1521639,230,Pu 2,47,169,DSS2,PN Pu 2,MASH,85.64355,36.15216
174.247544,-14.6041229,69.34785,25.0447056,231,H 3-29,158,107,DSS2,PN H 3-29,MASH,69.34785,25.04471
181.5297827,0.9231096,88.2017833,28.0996611,232,Pu 1,50,170,DSS2,PN Pu 1,MASH,88.20178,28.09966
183.812477,5.5489895,94.0472792,28.3697139,233,WeSb 2,33,152,DSS2,PN WeSb 2,MASH,94.04728,28.36971
189.1565721,19.8431491,111.3946667,29.4904528,234,NGC 2371,129,61,DSS2,NGC 2371,MASH,111.39467,29.49045
189.8944091,7.7928198,99.3373125,24.0098278,235,M 1-7,153,90,DSS2,PN M 1-7,MASH,99.33731,24.00983
190.3945025,-17.7599752,76.3929708,10.7063139,236,J 320,174,117,DSS2,Jonckheere 320,MASH,76.39297,10.70631
192.5309868,7.2213327,100.0386625,21.4134944,237,HaWe 8,134,71,DSS2,PN HaWe 8,MASH,100.03866,21.41349
194.2425705,2.5958101,96.4886458,17.7908861,238,J 900,83,21,DSS2,Jonckheere 900,MASH,96.48865,17.79089
196.684614,-10.9422765,85.5259542,9.0863194,239,NGC 2022,32,152,DSS2,NGC 2022,MASH,85.52595,9.08632
197.8494257,-3.4000719,92.7861458,11.7787139,240,A 14,175,114,DSS2,PN A66  14,MASH,92.78615,11.77871
198.6718608,-6.3201017,90.5835208,9.6539139,241,A 12,15,134,DSS2,PN A66  12,MASH,90.58352,9.65391
200.7861915,8.4505231,104.9851167,14.6094361,242,A 19,65,2,DSS2,PN A66  19,MASH,104.98512,14.60944
201.9578222,-4.6592743,93.6404833,7.5749639,243,We 1-4,104,42,DSS2,PN We 1-4,MASH,93.64048,7.57496
204.0239549,-8.5159829,91.1995667,3.9432667,244,A 13,47,165,DSS2,PN A66  13,MASH,91.19957,3.94327
204.8836795,-3.5776109,95.9786667,5.5035778,245,K 3-72,139,77,DSS2,PN K 3-72,MASH,95.97867,5.50358
205.1386308,14.2412193,112.2612792,13.2468806,246,A 21,136,72,DSS2,PN A66  21,MASH,112.26128,13.24688
240.3698042,-7.6291662,108.7074208,-27.8398278,247,M 3-2,42,160,DSS2,PN M 3-2,MASH,108.70742,-27.83983
