_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
252.6349994,4.4505794,127.9693042,-32.1024139,259,K 1-1,36,163,DSS2,PN K 1-1,MASH,127.9693,-32.10241,1.4679086990474248,2.0011027848443423,0.5331940857969175
253.5770109,10.7797338,134.441475,-28.9599806,260,K 1-2,101,52,DSS2,PN K 1-2,MASH,134.44147,-28.95998,0.5036516258142125,2.6534391929364576,2.149787567122245
257.5303484,0.6341368,127.7258208,-38.3019389,261,VBRC 1,118,65,DSS2,PN VBRC 1,MASH,127.72582,-38.30194,0.632152264649914,1.930652061425426,1.2984997967755119
258.1361819,-0.391434,127.1166167,-39.3945194,262,He 2-9,31,157,HST,Hen 2-9,MASH,127.11662,-39.39452,0.6221853313100494,1.9637257752738178,1.3415404439637684
259.1498688,0.9410339,129.28325,-39.4181667,263,He 2-11,137,86,DSS2,Hen 2-11,MASH,129.28325,-39.41817,0.4364330427623289,2.7480497633078103,2.3116167205454814
261.6143215,3.0050543,133.3779208,-40.0616889,264,He 2-15,33,164,DSS2,Hen 2-15,MASH,133.37792,-40.06169,0.7997855954570058,2.0527581431605086,1.2529725477035027
261.9828346,8.5842311,139.0069,-36.6274333,265,NGC 2818,90,45,DSS2,NGC 2818,MASH,139.0069,-36.62743,0.8056762675038488,2.343254027887351,1.5375777603835021
264.1648118,-8.142498,122.882875,-48.7213083,266,He 2-7,161,105,DSS2,Hen 2-7,MASH,122.88287,-48.72131,1.0966952955328069,2.3420661552600435,1.2453708597272366
264.4634998,-3.6573799,128.6145292,-46.4260417,267,Wray 17-20,22,150,DSS2,Wray 17-20,MASH,128.61453,-46.42604,0.9227007112916829,3.0798067366818818,2.157106025390199
265.7516915,4.1012964,138.1108167,-42.42775,268,NGC 2792,146,100,DSS2,NGC 2792,MASH,138.11082,-42.42775,0.8018084471585136,2.3619689452628903,1.5601604981043766
266.8929384,-4.235295,130.09375,-48.7091667,269,G266.8-04.2,125,73,MASH,PN G266.8-04.2,MASH,130.09375,-48.70917,0.5428419567965815,2.549283447719334,2.0064414909227524
